dimension,key,description,coder
research_position,testing,,alice
evaluation,conceptual_evaluation,Konzeptionelle Evaluation ist die Vorstellung des Gesamtkonzeptes bei Nutzer:innen oder Expert:innen und die Software wird basierend auf dem Konzept alleine bewertet,alice
evaluation,planned,"""eine Evaluation ist geplant, wenn das Konzept dargestellt ist, aber die Durchführung in der Zukunft liegt",alice
research_position,proof_of_concept_product,"Das Ziel der Studie ist primär, den Algorithmus zu entwickeln, die Software hat hier die Rolle diesen prototypisch umzusetzen und zu zeigen, dass es funktioniert",alice
evaluation,performance_evaluation,"Performanzevaluation bezieht sich auf Research Software, die bestehende Prozesse wie zum Beispiel Testverfahren hinsichtlich Performanzmetriken wie Geschwindigkeit oder Speicherverbrauch evaluiert; dazu zählt auch, dass die Forschungssoftware getestet wird, indem sie mit vergleichbaren Alternativen für einen kanonischen Testfall gegenübergestellt wird",alice
evaluation,alternatives_comparison,Die Software wird durch Argumentation ohne Messungen (das wäre benchmarking) mit anderen Alternativen verglichen und als besser/innovativer ... befunden. Dies sollte in einem eigeen Kapitel oder Abschnitt dokumentiert sein.,alice
software_type,deep_learning_model,The output of the research is a fine-tuned or specially prepared deep_learning model,alice
